question,origin_answer,polish_answer
XDR产品有什么特点？,"1）深信服XDR支持SaaS化/本地版XDR平台两种部署方式，支持原生的NDR（STA/SIP/SIP一体机/NDR）、EDR （EDR探针版、EDR全量版、CWPP）、 上网行为管理AC、下一代防火墙AF、云镜等组件，可以方便的组合使用。本地版XDR可以接入第三方数据。
2） 深信服XDR采用业界领先的数据湖技术，有统一的安全数据可供分析和查询。
3） 网络侧，端点侧以及云端相互配合和协调，可以更快，更精准的发现高级复杂威胁及攻击，实现对整个攻击面全面可视化。网络侧（AF）和端点侧（EDR/CWPP）联动处理改变单一产品的响应过程。
4）凭借IOA、IOC检测技术结合、网端关联聚合分析，对于无文件攻击、白利用、凭证窃取、加密流量、0day漏洞、挖矿、无回包攻击成功、隧道代理、恶意下载、鱼叉钓鱼、进程注入、免杀工具等威胁类型有显著检测能力优势；对于Webshell场景、加密挖矿、精准漏洞攻击、数据外泄、恶意软件溯源、跨进程链关联、跨终端安全事件存在高可见性优势；在响应处置方面，存在可推荐跨进程链的处置对象的优势。","深信服XDR具有以下特点：
1）深信服XDR支持SaaS化和本地版XDR平台两种部署方式，并且可以方便地组合使用原生的NDR（STA/SIP/SIP一体机/NDR）、EDR（EDR探针版、EDR全量版、CWPP）、上网行为管理AC、下一代防火墙AF、云镜等组件。本地版XDR还可以接入第三方数据。
2）深信服XDR采用业界领先的数据湖技术，提供统一的安全数据分析和查询能力。
3）在网络侧、端点侧和云端的协调配合下，深信服XDR能够更快、更精准地发现高级复杂威胁和攻击，并实现对整个攻击面的全面可视化。网络侧（AF）和端点侧（EDR/CWPP）之间能够联动处理，改变了单一产品的响应过程。
4）深信服XDR凭借IOA、IOC检测技术结合、网端关联聚合分析的能力，对于无文件攻击、白利用、凭证窃取、加密流量、0day漏洞、挖矿、无回包攻击成功、隧道代理、恶意下载、鱼叉钓鱼、进程注入、免杀工具等威胁类型具有显著的检测优势。在Webshell场景、加密挖矿、精准漏洞攻击、数据外泄、恶意软件溯源、跨进程链关联、跨终端安全事件方面具有高可见性优势。此外，在响应处置方面，深信服XDR还具有推荐跨进程链的处置对象的优势。"
安全行业目前有什么国家政策？,"网络安全是一个事关国家安全的重大战略性问题，党的十八大以来，党中央、国务院高度重视网络安全工作，在2018年召开的全国网络安全和信息化工作会议上，习近平总书记站在战略和全局高度，就网络安全工作发表了一系列重要讲话，强调了要树立正确的网络安全观，加强信息基础设施网络安全防护，加强网络安全信息统筹机制、手段、平台建设，加强网络安全事件应急指挥能力建设，积极发展网络安全产业，做到关口前移，防患于未然。为网络安全工作指明了方向。在2021年，我国先后制定颁布了多项政策法规用于规范企业网络安全建设，其中包括《网络产品安全漏洞管理规定》、《关键信息基础设施安全保护条例》等等，从多个维度制定网络产品规范，明确基础设施安全保障要求，为国家和企业信息安全建设提供了规范和指引。
习近平总书记在网安和信息化会议上指出，网络安全的本质在对抗，对抗的本质在攻防两端能力较量。要落实网络安全责任制，制定网络安全标准，明确保护对象、保护层级、保护措施。要下定决心、保持恒心、找准重心，加速推动信息领域核心技术突破。要抓产业体系建设，在技术、产业、政策上共同发力。要遵循技术发展规律，做好体系化技术布局，优中选优、重点突破。
从党和国家对于网络空间安全的重视，可以看到面对日新月异的攻防对抗技术更新换代，网络安全面对着攻击者的不断挑战，和防御技术不断落后的风险。同时根据习近平总书记“遵循技术规律，做好体系化技术布局”的指导意见，紧跟技术前沿，拥有全局化、体系化的安全视角，对掌握现今复杂的安全态势、接住来自攻击者不断更新的技术挑战，显得尤为重要。在这种政策指引的背景下，一个拥有统一构建平台、威胁对抗检测、响应处置一体能力的产品亟待出现。","网络安全是一个事关国家安全的重大战略性问题。党的十八大以来，党中央、国务院高度重视网络安全工作。在2018年召开的全国网络安全和信息化工作会议上，习近平总书记在战略和全局的高度上发表了一系列重要讲话，强调了要树立正确的网络安全观，加强信息基础设施网络安全防护，加强网络安全信息统筹机制、手段、平台建设，加强网络安全事件应急指挥能力建设，积极发展网络安全产业，做到关口前移，防患于未然。这为网络安全工作指明了方向。

在2021年，我国先后制定颁布了多项政策法规，用于规范企业网络安全建设。其中包括《网络产品安全漏洞管理规定》、《关键信息基础设施安全保护条例》等。这些政策法规从多个维度制定了网络产品规范，明确了基础设施安全保障要求，为国家和企业的信息安全建设提供了规范和指引。

习近平总书记在网络安全和信息化工作会议上指出，网络安全的本质在于对抗，对抗的本质在于攻防两端能力较量。因此，我们需要落实网络安全责任制，制定网络安全标准，明确保护对象、保护层级、保护措施。同时，我们要下定决心、保持恒心、找准重心，加速推动信息领域核心技术突破。另外，我们还要抓好产业体系建设，在技术、产业、政策上共同发力。遵循技术发展规律，做好体系化技术布局，优中选优、重点突破。

面对日新月异的攻防对抗技术更新换代，网络安全面临着攻击者不断挑战和防御技术不断落后的风险。根据习近平总书记的指导意见，“遵循技术规律，做好体系化技术布局”，我们应紧跟技术前沿，拥有全局化、体系化的安全视角，以掌握现今复杂的安全态势，应对来自攻击者不断更新的技术挑战。在这种政策指引的背景下，一个拥有统一构建平台、威胁对抗检测、响应处置一体能力的产品亟待出现。"
XDR是如何处理线上和线下业务的？,"深信服的XDR采用线上线下同架：
深信服的SaaS XDR与分布式XDR采用同架构设计，使得分布式XDR能快速获取云端SaaS XDR快速迭代、快速验证有效的安全能力，增快硬件安全设备的有效安全能力迭代效率，让客户始终处于最前沿的防护状态。传统厂商硬件安全设备的安全能力迭代与效果验证周期较长，往往需要数周以上的多轮迭代和验证，安全能力才能现成真正有防御效果，且效果验证难度大，往往需要到客户环境验证才能得到有效的安全效果验证。
深信服SaaS XDR利用了云原生架构、灰度/影子技术，促进安全能力天级迭代发布部署和检验效果，形成一个不断增强和不断往前迭代的安全能力飞轮，使我们能够快速追踪和适应安全威胁的快速演变。分布式XDR与SaaS XDR保持同架构设计，使得经过云端快速验证有效的新检测引擎能在第一时间同步到分布式XDR，比传统硬件安全设备厂商的安全能力迭代效率更快，使得分布式XDR具备SaaS XDR快速响应新的安全威胁能力。",深信服的XDR采用线上线下同架构的方式来处理线上和线下业务。具体来说，深信服的SaaS XDR与分布式XDR采用相同的架构设计，这样可以使得分布式XDR能够快速获取云端SaaS XDR的最新安全能力，并进行迭代和验证。这种设计能够提高硬件安全设备的安全能力迭代效率，使得客户始终处于最前沿的防护状态。相比传统厂商的硬件安全设备，其安全能力迭代和效果验证周期较长，需要数周以上的多轮迭代和验证，才能得到真正有效的安全效果。而深信服的SaaS XDR利用了云原生架构和灰度/影子技术，可以更快地发布部署和验证安全能力的迭代效果，形成一个不断增强和往前迭代的安全能力飞轮。这使得我们能够快速追踪和适应安全威胁的快速演变。同时，分布式XDR与SaaS XDR保持相同的架构设计，使得经过云端验证的新检测引擎能够在第一时间同步到分布式XDR，从而使得分布式XDR具备与SaaS XDR同样快速响应新的安全威胁的能力。
XDR对API的支持情况？,深信服XDR平台采用Istio作为统一的接入网关，Istio最初是由IBM、Google和Lyft开发的、一个完全开源的服务网格，作为透明的一层接入到现有的分布式应用程序里。它也是一个平台，拥有可以集成任何日志、遥测和策略系统的 API 接口。Istio多样化的特性使得能够成功且高效地运行分布式微服务架构，并提供保护、连接和监控微服务的统一方法。Istio 提供了对整个服务网格的行为洞察和操作控制的能力，以及一个完整的满足微服务应用各种需求的解决方案。包括服务发现、负载均衡、故障恢复、度量和监控等基本需求，和更复杂的运维需求，比如A/B测试、金丝雀发布、速率限制、访问控制和端到端认证等，具有较高的性能和极高的稳定性。,深信服XDR平台采用Istio作为统一的接入网关。Istio最初是由IBM、Google和Lyft开发的完全开源的服务网格。它能够透明地集成到现有的分布式应用程序中，并提供一个平台，可以与任何日志、遥测和策略系统集成。Istio的多样化特性使得它能够高效地支持分布式微服务架构，并提供统一的保护、连接和监控微服务的方法。Istio提供了对整个服务网格的行为洞察和操作控制的能力，以及满足微服务应用各种需求的解决方案。这些需求包括服务发现、负载均衡、故障恢复、度量和监控等基本需求，以及更复杂的运维需求，如A/B测试、金丝雀发布、速率限制、访问控制和端到端认证等。Istio具有较高的性能和极高的稳定性。
XDR设计理念是什么？,"深信服XDR专注于应对安全挑战、解决行业痛点，设计理念围绕以下三大思路：
1）XDR为网络空间安全提供统一的全局视野。EDR/CWPP横跨各种终端、AF/STA/SIP覆盖网络、SaaS应用、云基础设施等网络资源，通过终端侧、网络侧遥测数据智能采集技术，真正实现网络空间全面可见性。XDR平台将各遥测点采集的遥测数据进行泛化、格式化，再聚合和分析，深度了解所保护或监控的对象中是否存在的安全风险与攻击（包括隐蔽风险与攻击），甚至可以回溯之前已经发生过的相关安全事件，让网络安全不仅具备可观测性，更具有可见预判性。解决了以往安全设备孤岛式分布，无法真正协同工作的问题。
2） XDR通过详尽的攻击可视化，提升安全研判及溯源的效率。通过端、网、云等遥测数据关联技术，构建完整的高质量场景化故事链，以清晰呈现事件的全过程。同时IOA+IOC等检测技术的融合，网+端实现攻击路径中各节点行为痕迹的自动化关联分析，不仅可以发现未知威胁行为，更能持续提升检测精度。解决了之前主要基于规则识别，未知威胁难以应对，并且海量告警难以处置，导致安全事件处置碎片化的难题。
3）XDR通过智能聚合与关联，驱动安全运营人员由关注告警（Alerts）向注重事件（Incidents）的质变。能有效降低大量告警噪音数据，为安全运维和分析人员减负。同时借助于深信服SaaS能力赋能，云端情报让企业快速感知社区价值，云端算力加持保证安全能力实时更新，云端XTH威胁狩猎团队对XDR产生的安全事件进行7*24小时研判，研判后的事件会打上XTH标签，事件准确率高达99.9%，以方便用户及时处置威胁，能够有效解决企业安全运营效率低下的难题。","深信服XDR专注于应对安全挑战、解决行业痛点，其设计理念围绕以下三大思路：

首先，XDR旨在为网络空间安全提供统一的全局视野。它不仅涵盖了EDR/CWPP等各种终端，还覆盖了AF/STA/SIP等网络资源以及SaaS应用和云基础设施。通过终端侧和网络侧的遥测数据智能采集技术，XDR实现了对网络空间的全面可见性。XDR平台将从各遥测点采集的数据进行泛化、格式化，然后进行聚合和分析，从而深入了解所保护或监控的对象中存在的安全风险和攻击，甚至可以回溯之前已发生的相关安全事件。这使得网络安全不仅具备可观测性，还具有可见预判性，解决了以往安全设备孤立分布和无法协同工作的问题。

其次，XDR通过详尽的攻击可视化，提升了安全研判和溯源的效率。通过端、网、云等遥测数据关联技术，XDR构建了完整的高质量场景化故事链，清晰呈现事件的全过程。同时，通过IOA+IOC等检测技术的融合，网+端实现了攻击路径中各节点行为痕迹的自动化关联分析，不仅可以发现未知威胁行为，还能持续提升检测精度。这解决了以前主要基于规则识别的方法难以应对未知威胁和海量告警难以处理的问题，从而避免了安全事件处置碎片化的困境。

最后，XDR通过智能聚合与关联，推动安全运营人员从关注告警（Alerts）转向注重事件（Incidents）。它能够有效降低大量告警噪音数据，减轻安全运维和分析人员的负担。同时，借助深信服的SaaS能力，XDR能够让企业快速感知社区价值，云端情报实现实时更新，以及云端XTH威胁狩猎团队对XDR产生的安全事件进行7*24小时研判。研判后的事件将打上XTH标签，准确率高达99.9%，以便用户及时处置威胁。这有效解决了企业安全运营效率低下的问题。"
XDR支持采集的数据类型有哪些？,"深信服XDR遥测数据采集的类型分为三种，分别为网络侧遥测数据，终端侧遥测数据以及第三方数据，采集的数据以JSON或文件的格式上报。
其中网络侧遥测数据具体包含如下信息：
- SIP态势感知：脆弱性、服务探测、主机探测、网站攻击、后门通信、账号爆破、攻击利用、邮件攻击、DOS攻击、漏洞利用、黑客工具、异常流量。
- AF防火墙：网站攻击、漏洞攻击、业务风险、DOS攻击、勒索挖矿、僵尸网络、异常流量。
- STA探针：协议、NetFlow、少量Payload。
- SIP态势感知/AF防火墙/STA探针: 可疑日志。
- 云镜：资产、脆弱性数据

终端侧遥测数据具体包含如下信息：
- EDR/CWPP：传统杀毒类日志和IOA类日志。
- Windows：进程信息、网络连接、DNS查询、注册表修改、文件行为、服务信息、计划任务、账号信息、WMI（Windows 管理规范）、应用漏洞利用探针、API信息。
- Linux：文件、进程、驱动、系统调用、模块事件、脆弱性。

第三方数据具体包含如下信息：
AD域，VPN等日志，同时本地版 XDR平台具备广泛的第三方数据接入能力，能将用户现有的第三方设备日志接入做统一展示，保护用户原有投资。
- 支持第三方厂商：绿盟、天融信、启明、网御、奇安信、亚信、迪普、青藤等。
","深信服XDR支持采集的数据类型有三种：网络侧遥测数据、终端侧遥测数据和第三方数据。采集的数据以JSON或文件的格式上报。

网络侧遥测数据包括以下信息：
- SIP态势感知：脆弱性、服务探测、主机探测、网站攻击、后门通信、账号爆破、攻击利用、邮件攻击、DOS攻击、漏洞利用、黑客工具、异常流量。
- AF防火墙：网站攻击、漏洞攻击、业务风险、DOS攻击、勒索挖矿、僵尸网络、异常流量。
- STA探针：协议、NetFlow、少量Payload。
- SIP态势感知/AF防火墙/STA探针: 可疑日志。
- 云镜：资产、脆弱性数据。

终端侧遥测数据包括以下信息：
- EDR/CWPP：传统杀毒类日志和IOA类日志。
- Windows：进程信息、网络连接、DNS查询、注册表修改、文件行为、服务信息、计划任务、账号信息、WMI（Windows 管理规范）、应用漏洞利用探针、API信息。
- Linux：文件、进程、驱动、系统调用、模块事件、脆弱性。

第三方数据包括以下信息：
AD域，VPN等日志，同时深信服XDR平台支持广泛的第三方数据接入能力，能够将用户现有的第三方设备日志接入并进行统一展示，以保护用户原有的投资。
- 支持的第三方厂商有绿盟、天融信、启明、网御、奇安信、亚信、迪普、青藤等。"
XDR提供哪些服务？,"深信服的XDR中服务包括MDR和MSS服务。MDR围绕托管检测与响应服务，以及事件响应服务，提供以下能力：
- 7*24H威胁鉴定和通告：安全专家依托于安全能力平台的大数据分析和威胁检测能力实时监测用户网络安全状态，对平台监测到的安全威胁进行分析鉴定，识别到真正的安全事件。并对分析鉴定后的各类威胁告警、安全事件生成服务工单，并及时向用户通告；
- 云端专家实时答疑：安全专家对用户咨询或上报的安全问题进行及时响应并给出建议，如主机加固建议咨询、安全事件处置建议咨询等；
- 深度威胁狩猎：安全专家可针对内/外网或特定业务系统及特定漏洞，基于客户业务定制检测逻辑，尽可能快地发现漏洞或攻击痕迹，发现潜在的安全隐患和已失陷的主机/被钓鱼成功的员工/账密信息泄露等，最大限度地降低攻击者造成的危害，评估造成的损失等内容，最终帮助客户验证风险并推动发现的问题和隐患进行闭环处理；
- 安全事件调查：安全专家7*24H在线服务，对XDR平台产生的安全事件进行深度分析和调查，帮助用户分析和判断事件影响范围，并深度溯源事件入侵的原因，输出《事件调查报告》；
- 安全事件响应处置：安全专家7*24小时在线响应，协助用户对一般事件（如木马病毒、挖矿病毒、恶意攻击等）进行远程处置，输出《事件处置报告》；针对重大事件，安全专家协助用户对网络内发生的重大安全事件进行处置，包括对事件进行紧急遏制、检测和分析事件的影响范围、开展事件的溯源调查、提供响应后的安全加固方案等内容，输出《应急响应报告》；
- 服务成果可视化：安全月报，安全专家对每月的安全情况进行月度总结并形成快报进行推送；半年汇报，安全专家总结半年度安全服务情况并输出《半年度MDR服务总结报告》，并向用户进行总结汇报；年度汇报：安全专家总结年度安全服务情况并输出《年度MDR服务总结报告》，并向用户进行总结汇报。
MSS服务是围绕资产、漏洞、威胁、事件构建的安全托管服务，相较于MDR服务内容更广、更多，此处不再赘述。","深信服的XDR中提供了MDR和MSS两种服务。
MDR服务主要包括以下能力：
- 7*24小时的威胁鉴定和通告：安全专家通过大数据分析和威胁检测能力实时监测用户网络安全状态，并对检测到的安全威胁进行分析鉴定，最终确认真正的安全事件，并及时向用户通告。
- 云端专家实时答疑：安全专家能够及时回答用户咨询或上报的安全问题，并提供相关建议，例如主机加固建议和安全事件处置建议等。
- 深度威胁狩猎：安全专家可以根据客户业务需求，针对内/外网或特定业务系统及特定漏洞定制检测逻辑，以尽快发现潜在的安全隐患和已失陷的主机/被钓鱼成功的员工/账密信息泄露等，从而最大限度地减少攻击者造成的危害，并评估相关损失，最终帮助客户验证风险并推动问题和隐患的闭环处理。
- 安全事件调查：安全专家提供7*24小时在线服务，对XDR平台产生的安全事件进行深度分析和调查，帮助用户分析和判断事件影响范围，并深度追溯事件入侵的原因，输出详细的《事件调查报告》。
- 安全事件响应处置：安全专家提供7*24小时在线响应，协助用户对一般事件（如木马病毒、挖矿病毒、恶意攻击等）进行远程处置，输出相应的《事件处置报告》。对于重大事件，安全专家将协助用户进行紧急遏制、检测和分析事件的影响范围、开展事件的溯源调查，并提供响应后的安全加固方案等内容，最终输出《应急响应报告》。
- 服务成果可视化：安全月报、半年汇报和年度汇报。安全专家会对每个月的安全情况进行总结，并形成安全月报进行推送；他们还会总结半年度和年度的安全服务情况，并输出相应的报告，向用户进行总结汇报。

MSS服务是围绕资产、漏洞、威胁和事件构建的安全托管服务，相较于MDR服务，MSS服务的内容更加广泛和丰富，具体细节在此不再赘述。"
XDR的数据存储层是如何设计的？,深信服XDR通过Pulsar消息队列+ClickHouse数据库+深信服EDS构建业界先进的数据湖理念，轻松处理PB级海量数据。其中Pulsar拥有比Kafka更高的性能，可以轻松高效的收集数据；ClickHouse作为列式数据库，能够契合XDR平台对于数据中心的使用场景；通过采用深信服分布式存储EDS，构建全局、统一的数据湖数据信息平台，为XDR平台安全能力提供强有力的数据基础，并提供多种数据模型，构建应用、查询数据更加灵活。,深信服XDR通过Pulsar消息队列、ClickHouse数据库和深信服EDS构建了业界先进的数据存储层。这个数据存储层可以轻松处理PB级海量数据。Pulsar具有比Kafka更高的性能，可以高效地收集数据。ClickHouse是一种列式数据库，非常适合XDR平台对数据中心的使用场景。而深信服分布式存储EDS则实现了全局统一的数据湖信息平台，为XDR平台的安全能力提供了强大的数据基础。此外，EDS还提供多种数据模型，使应用程序和查询数据更加灵活。
XDR如何传输数据？,"深信服XDR平台在数据上报和组件联动上采用两种自研的数据传输协议：
（１）数据上报：网络侧和终端侧组件上报的遥测数据通过深信服自研的加密协议进行传输，该协议基于HTTP/2和TLS加密，保障大批量数据传输时的性能和安全性。数据传输支持JSON、文件上传两种格式。
（２）组件联动：采用自研的https://grpc.io/双向流协议，gRPC是一个现代的、开源的远程过程调用 (RPC) 框架，基于https://developers.google.com/web/fundamentals/performance/http2协议。它使用户端和服务器应用程序能够透明地通信，并使构建连接系统变得更加容易，帮助我们构建具有高可见性的高度可扩展的系统，传输过程采用TLS加密保证传输过程中的安全性。gRPC双向流协议使得XDR平台和各联动组件之间可以异步通信，为“唯快不破”的安全场景提供了响应处置速度上的保障。组件联动还需要对唯一的组件ID进行认证，保障了平台、组件间通信的安全。","深信服XDR平台在数据上报和组件联动上采用两种自研的数据传输协议。首先是数据上报，网络侧和终端侧组件上报的遥测数据通过深信服自研的加密协议进行传输。该协议基于HTTP/2和TLS加密，保障了大批量数据传输时的性能和安全性。数据传输支持JSON和文件上传两种格式。

其次是组件联动，深信服XDR平台采用了自研的gRPC双向流协议。gRPC是一个现代的、开源的远程过程调用(RPC)框架，基于HTTP2协议。通过使用TLS加密，传输过程中的安全性得到了保证。gRPC双向流协议使得XDR平台和各联动组件之间可以异步通信。这为具有高可见性的高度可扩展的系统提供了快速响应的处置速度保障。此外，组件联动还对唯一的组件ID进行认证，保障了平台和组件间通信的安全性。"
XDR如何实现数据持久化？,深信服XDR平台采用ClickHouse数据库存储热数据，ClickHouse是一个用于联机分析(OLAP)的列式数据库管理系统(DBMS)，提供毫秒级的日志检索分析体验。,深信服XDR平台实现数据持久化的方式是采用ClickHouse数据库。ClickHouse是一个专门用于联机分析(OLAP)的列式数据库管理系统(DBMS)，它能够提供毫秒级的日志检索和分析体验。通过将热数据存储在ClickHouse中，XDR平台能够实现数据的持久化，确保数据的安全性和可靠性。
XDR数据富化的能力？,"用户上传到XDR平台的数据形式各异，为了实现数据解析、ETL的标准化过程，深信服XDR平台提供了功能强大的解析算子、逻辑处理算子和标签算子。其中，解析算子目前支持多种格式的数据解析，包括CSV、KV、JSON、grok、正则、XML等格式，这些格式覆盖大多数企业数据分析的使用场景；数据过滤支持多字段、多条件进行组合，形成复杂的过滤条件，满足分析场景中灵活的需求；标签算子，可结合地理位置、资产信息、黑白名单和威胁情报等信息，为不同应用场景提供不同的选择，给原始数据添加对应的标签，富化形成结构化数据。
同时数据湖中具有安全分析平台，将网络侧收集的基本原始数据做初步筛选和转换，再进行存储，节约了存储成本的同时也为后续的分析能力提供基础。",用户上传到XDR平台的数据形式各异。为了实现数据解析和ETL的标准化过程，深信服XDR平台提供了功能强大的解析算子、逻辑处理算子和标签算子。解析算子支持多种格式的数据解析，包括CSV、KV、JSON、grok、正则、XML等格式。这些格式覆盖了大多数企业数据分析的使用场景。数据过滤支持多字段、多条件进行组合，形成复杂的过滤条件，满足分析场景中灵活的需求。标签算子结合地理位置、资产信息、黑白名单和威胁情报等信息，为不同应用场景提供不同的选择，给原始数据添加对应的标签，富化形成结构化数据。同时，数据湖中具有安全分析平台，将网络侧收集的基本原始数据做初步筛选和转换，再进行存储，既节约了存储成本，又为后续的分析能力提供基础。
XDR的消息中间件是怎样的？,"分布式计算环境下抽象数据输入的最佳实践就是消息队列，深信服XDR平台大部分采用Pulsar作为消息队列。Pulsar采用了分层的架构，解决了存储计算的松散耦合性，同时提供了很好的扩展性和可维护性，具备比Kafka更高的性能。Pulsar也通过订阅层的抽象，提供了统一的消息消费模型，特别是在Pulsar的设计之初，就注重对多租户的需求，提供了XDR业务需求的特性。
深信服XDR采用三层消息队列的架构设计，第一层是接入的原始JSON格式数据，经过富化后变为结构化的JSON数据，再进行序列化转换成AVRO格式最终存储在数据库当中。",XDR的消息中间件是深信服XDR平台采用Pulsar作为消息队列的最佳实践。Pulsar采用了分层的架构，解决了存储计算的松散耦合性，同时提供了很好的扩展性和可维护性，性能也比Kafka更高。Pulsar还通过订阅层的抽象，提供了统一的消息消费模型。特别是在Pulsar的设计之初，就注重对多租户的需求，满足了XDR业务需求的特性。在深信服XDR中，采用了三层消息队列的架构设计。第一层是接入的原始JSON格式数据，经过富化后变为结构化的JSON数据，再进行序列化转换成AVRO格式最终存储在数据库中。
当前安全行业的痛点有哪些？,"安全行业的痛点：
网络安全事件层出不穷，网络安全形势也愈来愈复杂和严峻。在黑色产业链的利益驱使下，黑客的手段越来越成熟，各种基于社会工程学、0day漏洞和绕过攻击等新型手段发起的攻击不断出现，网络安全问题呈现出多元化的发展趋势。面对网络安全问题的快速变化，传统的安全解决方案发展却过于缓慢。目前主流的应对方案依然是基于大量安全产品的简单组合，存在较多的不足。
首先，在安全设备检测方面：
1） 安全设备孤岛式分布，无法真正协同工作
	一次安全事件会同时在多个点留下痕迹，但安全设备彼此是独立的，尽管这些单独的安全设备能够提供自身负责范围的日志和告警，但它们并没有将整个攻击面的点连接起来，无法真正协同工作。现有的安全运营能力都是基于安全分析师的人工关联，但是告警来自多源异构数据，大多是碎片化的，非常难以整合，同时告警研判过程中存在重复低效的二次取证工作，安全分析师需要在不同安全设备间反复切换，不完备的资产实体库同样也为研判带来了阻塞，最后，这些汇总整合研判的工作都由安全分析师来完成，而企业人员的精力和能力常常成为了最难以逾越的鸿沟。
2） 主要基于规则识别，未知威胁难以应对
	传统的安全设备往往只能通过规则匹配机制发现已知威胁，对未知攻击没有有效的检测手段。越来越多的攻击对抗技术、APT攻击，出现了很多绕过单一安全防护设备的规则的手法，而设备厂商往往对于绕过手法后知后觉，处于一种“被动挨打”的不利地位。甚至出现了某些针对架构或基本能力的绕过手法，安全设备厂商从感知到改进修复，到下发到用户，是需要一个很长的周期的，这极大的挑战了单一安全设备的防护能力。
	其次，在安全运营人员响应方面：
3） 安全事件处置碎片化，难以打破产品边界
	传统的安全事件响应处置只关注单品的响应能力，未做到网端协同响应，这也是由告警数据太多、不够精准导致的，最终处置往往是“一刀切”，直接对危险资产实体进行断网或重装的办法。在没有威胁精准定位支撑的情况下，这种粗暴的办法似乎也难以替代，但当安全事件数量超过人工手动处理能力的时候，当危险资产涉及企业核心资产的时候，这种粗暴办法的缺点便暴露无遗，面对这些情况企业往往是非常棘手的。
4） 安全运营效率低下，运营人员疲于应付重复、单一的工作
	企业购买大量异构安全设备，分散在各处，产生大量日志，给日志分析和事件处理带来困难。运维人员被大量零散的信息淹没，无法做出宏观判断和有效决策，在多个设备间反复切换，导致效率低下，无法充分发挥每个设备最佳的能力。","网络安全行业目前存在一些痛点。首先，网络安全事件不断涌现，形势日益复杂严峻。黑色产业链的推动下，黑客们的攻击手段越来越成熟，不断涌现出基于社会工程学、0day漏洞和绕过攻击等新型手段发起的攻击，网络安全问题呈现出多元化的发展趋势。然而，传统的安全解决方案的发展却相对缓慢。目前主流的应对方案仍然是基于大量安全产品的简单组合，存在许多不足之处。

其次，在安全设备检测方面存在问题。首先，安全设备之间存在孤岛式的分布，无法真正协同工作。一次安全事件通常会在多个点留下痕迹，但是安全设备彼此是独立的，它们无法将整个攻击面的各个点连接起来，无法真正协同工作。虽然这些单独的安全设备能够提供自身负责范围的日志和告警，但是由于告警来自多个源头且数据异构，整合起来非常困难。安全分析师需要在不同的安全设备之间反复切换，而且还需要进行重复低效的二次取证工作。此外，安全分析师的工作还受到不完备的资产实体库的限制，导致整个研判工作进展缓慢。总体而言，这些汇总整合研判的工作由安全分析师来完成，企业的人力和能力常常成为最大的瓶颈。

其次，在安全设备的检测能力方面存在问题。传统的安全设备通常只能通过规则匹配机制发现已知的威胁，对于未知的攻击缺乏有效的检测手段。随着攻击对抗技术和APT攻击的出现，绕过单一安全防护设备的规则成为一种常见手法，而设备厂商往往无法及时察觉到这些绕过手法，处于被动挨打的劣势。甚至一些攻击手法针对的是安全设备的架构或基本能力，设备厂商的感知、改进修复以及下发给用户需要很长时间，这极大地挑战了单一安全设备的防护能力。

另外，在安全运营人员的响应能力方面也存在问题。传统的安全事件响应处置只关注单品的响应能力，未能实现网端协同响应。这主要是由于告警数据过多且不够精准导致的。在没有威胁精准定位的支撑下，通常只能采取粗暴的处置办法，例如直接对危险资产实体进行断网或重装。然而，当安全事件数量超过人工手动处理能力，或者当危险资产涉及企业核心资产时，这种粗暴的办法就显得不够灵活。面对这些情况，企业往往会陷入困境。

最后，在安全运营效率方面存在问题。企业购买大量异构安全设备，这些设备分散在各处，产生大量日志，给日志分析和事件处理带来困难。运维人员往往被大量零散的信息淹没，无法做出宏观判断和有效决策。他们需要在多个设备之间反复切换，导致效率低下，无法充分发挥每个设备的最佳能力。"
